Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Weight lifting duration (ms)
20:30:00.000-04:00,20:45:00.000-04:00,16.453273908793875,,38.751243591308594,-89.95238494873047,38.75139617919922,-89.9523696899414,,,,45,,,,900000,,,
20:45:00.000-04:00,21:00:00.000-04:00,16.453273908793875,,38.75126266479492,-89.95247650146484,38.751529693603516,-89.9523696899414,,,,32,,,,900000,,,
21:00:00.000-04:00,21:15:00.000-04:00,41.464491147132186,241.1208938555401,38.75088882446289,-89.9527359008789,38.75128173828125,-89.95209503173828,0.6803087753936092,1.0851384401321411,0.3543057143688202,507,,,,460349,439651,,
21:15:00.000-04:00,21:30:00.000-04:00,20.34394814265783,30.12976584866827,38.75125503540039,-89.9524917602539,38.75144577026367,-89.9521713256836,,,,64,,,,831610,68390,,
21:30:00.000-04:00,21:45:00.000-04:00,14.336759327893049,22.954492568969727,38.7512092590332,-89.95247650146484,38.75128936767578,-89.95223236083984,0.2535427510738373,0.2535427510738373,0.2535427510738373,146,,,,809465,90535,,
21:45:00.000-04:00,22:00:00.000-04:00,,,38.75124740600586,-89.95249938964844,38.7513313293457,-89.95233154296875,,,,12,,,,900000,,,
22:00:00.000-04:00,22:15:00.000-04:00,,,38.75133514404297,-89.95249938964844,38.75133514404297,-89.95249938964844,,,,,,,,900000,,,
22:15:00.000-04:00,22:30:00.000-04:00,,,,,,,,,,,,,,900000,,,
22:30:00.000-04:00,22:45:00.000-04:00,,,38.75149154663086,-89.95257568359375,38.75149154663086,-89.95257568359375,8.130000114440918,8.130000114440918,8.130000114440918,,,,,900000,,,
22:45:00.000-04:00,23:00:00.000-04:00,7.163590779314194,,,,,,8.13000011444092,8.130000114440918,8.130000114440918,,,,,900000,,,
23:00:00.000-04:00,23:15:00.000-04:00,16.45327356924641,,38.75132751464844,-89.95238494873047,38.75132751464844,-89.95238494873047,,,,,,,,900000,,,
23:15:00.000-04:00,23:30:00.000-04:00,16.45327356924641,,38.75125503540039,-89.952392578125,38.75127029418945,-89.9522933959961,,,,127,,,,900000,,,
23:30:00.000-04:00,23:45:00.000-04:00,16.45327356924641,,38.751258850097656,-89.952392578125,38.751258850097656,-89.952392578125,,,,8,,,,900000,,,
23:45:00.000-04:00,00:00:00.000-04:00,16.453274114558486,,38.751346588134766,-89.95243072509766,38.751346588134766,-89.95243072509766,,,,75,,,,868941,,,
